,Lemma,target_canonical,target_relemmatized,emlap_instances_N,noscemus_instances_N,cc_instances_N,grela_instances_N
2793,"Yridis, vel Yride","yridis, uel yride",yrides uel yrides,0,0,0,0
2725,Ventus rubeus,uentus rubeus,uentus rubeus,0,3,0,3
2724,Ventus citrinus,uentus citrinus,uentus citrinus,0,3,0,3
2723,Ventus albus,uentus albus,uentus albus,0,2,0,2
2720,Vener,uener,uener,0,115,120,235
2718,Venas vrere,uenas urere,uena ureo,0,1,0,1
107,Pegernus,pegernus,pegernus,0,3,0,3
2800,Zaffaben,zaffaben,zaffaben,0,1,0,1
2770,Vnterrauchstein,unterrauchstein,unterrauchstein,0,1,0,1
150,Acamech,acamech,acamech,0,3,0,3
2733,Via recrementorum,uia recrementorum,uia recrementus,0,4,0,4
2729,Vermilion,uermilion,uermilion,0,3,1,4
2807,Zaocel,zaocel,zaocel,0,1,0,1
2727,Venula fibra,uenula fibra,uenula fibra,0,1,0,1
2740,Virgula furcata,uirgula furcata,uirgula furcatus,0,4,0,4
2739,Viphi,uiphi,uiphi,0,1,0,1
2808,Zaras,zaras,zaras,0,5,3,8
2809,Zarfa,zarfa,zarfa,0,3,0,3
2735,Vicus aestiomenum,uicus aestiomenum,uicus aestiomenum,0,3,0,3
2734,Vicarius Domini,uicarius domini,uicarius dominus,0,3,62,65
2819,"Zegi, zet, zezi","zegi, zet, zezi",zegus zet zezi,0,0,0,0
2748,Vitellum poli,uitellum poli,uitellus polus,0,2,0,2
2747,Vismat,uismat,uismat,0,0,0,0
2693,Vamas,uamas,uamas,0,1,0,1
2692,Valrat,ualrat,ualrat,0,3,0,3
2690,Tursiet,tursiet,tursiet,0,1,0,1
2701,Vectiarii,uectiarii,uectiarii,0,4,0,4
2700,Vectes recti,uectes recti,uectis rectum,0,7,0,7
2811,Zarnich,zarnich,zarnich,0,16,0,16
2812,Zatanea,zatanea,zatanea,0,3,0,3
2695,Vas crudum,uas crudum,uas crudus,0,2,0,2
2709,Vena Veneris,uena ueneris,uena uenus,0,3,0,3
2749,Vitri fel,uitri fel,uitrum fel,0,3,0,3
2818,Zefr,zefr,zefr,0,1,0,1
2817,Zec,zec,zec,0,47,0,47
102,Noas,noas,noas,0,16,10,26
111,Pyritae aliorum colorum,pyritae aliorum colorum,pyritus alius color,0,2,0,2
2845,Ranac. 10,ranac. 10,ranuc 10,0,0,0,0
25,Machina tractoria,machina tractoria,machina tractoria,0,15,0,15
140,Abicum,abicum,abicum,0,2,1,3
139,Abesum,abesum,abesum,0,2,4,6
138,Abessi,abessi,abessi,0,3,0,3
137,Abesamum,abesamum,abesamum,0,2,0,2
136,Abartamen,abartamen,abartamen,0,2,0,2
2806,Zandick,zandick,zandick,0,1,0,1
149,Acalai,acalai,acalai,0,2,0,2
148,Acaid,acaid,acaid,0,2,0,2
147,Acahi,acahi,acahi,0,3,0,3
146,Acacia ferrea,acacia ferrea,acacia ferreus,0,2,0,2
145,Aboit vel abit,aboit uel abit,aboit uel abeo,0,1,0,1
144,Abneleitem,abneleitem,abneleitem,0,1,0,1
142,Abluiren,abluiren,abluiren,0,1,0,1
157,Acetum amineum,acetum amineum,acetum amineus,0,2,0,2
155,Acetabulus,acetabulus,acetabulus,0,4,0,4
154,Accatum,accatum,accatum,0,2,0,2
153,Acazdir,acazdir,acazdir,0,2,0,2
152,Acato,acato,acato,0,5,0,5
135,Abacus maior,abacus maior,abacus magnus,0,1,0,1
835,Capsa putealis,capsa putealis,capsa putealis,0,2,0,2
2456,Siringae,siringae,siringae,0,2,0,2
2455,Siricon de plumbo,siricon de plumbo,siricon de plumbum,0,2,0,2
837,Caput areae,caput areae,caput area,0,6,0,6
2405,Selinitis,selinitis,selinitis,0,7,0,7
2403,Seidem,seidem,seidem,0,1,2,3
2401,"Segith, Sernech","segith, sernech",segith sernech,0,0,0,0
