,Lemma,target_canonical,target_relemmatized,emlap_instances_N,noscemus_instances_N,cc_instances_N,grela_instances_N
1389,Funiculus canabinus,funiculus canabinus,funiculus canabinus,0,8,0,8
1388,Fumus virosus,fumus uirosus,fumus uirosus,0,6,0,6
1385,Fumus casae,fumus casae,fumus casa,0,2,0,2
1397,Furnus ascensorius,furnus ascensorius,furnus ascensorius,0,2,0,2
1396,Furnus apertus,furnus apertus,furnus apertus,0,3,0,3
1393,Furni tecti,furni tecti,furnius tectum,0,1,0,1
1392,Furni compositi,furni compositi,furnius compositum,0,1,0,1
1391,Fures candidi,fures candidi,fur candidus,0,1,0,1
1390,Funis ductarius,funis ductarius,funis ductarius,0,15,1,16
1405,Furnus sabuli,furnus sabuli,furnus sabulum,0,1,0,1
1110,Dehenes,dehenes,dehenes,0,2,0,2
1374,Fossos ducere,fossos ducere,fodio duco,0,1,0,1
559,Asser triangularis,asser triangularis,asser triangularis,0,4,0,4
571,"Atebras, vncus aquinus","atebras, uncus aquinus",atebras uncus aquinus,0,0,0,0
714,Braricia,braricia,braricia,0,2,0,2
569,Atac,atac,atac,0,3,0,3
568,Asuoli,asuoli,asuoli,0,1,0,1
567,Asulci,asulci,asulci,0,2,0,2
566,Asubedegi,asubedegi,asubedegi,0,2,0,2
516,Area rotunda,area rotunda,area rotundus,0,9,3,12
515,Area capitis,area capitis,area caput,0,27,8,35
511,Arcos,arcos,arcos,0,5,31,36
1492,Hager,hager,hager,0,49,3,52
715,Brase,brase,brase,0,5,0,5
1543,Ignis exstinctus,ignis exstinctus,ignis exstinctus,0,1,14,15
717,Brelisis,brelisis,brelisis,0,2,0,2
1554,Iliaster quartus,iliaster quartus,iliaster quartus,0,2,0,2
1025,Contersehe,contersehe,contersehe,0,1,0,1
1552,Ileidos,ileidos,ileidos,0,3,0,3
1551,Ilech supra naturale,ilech supra naturale,ilech supra naturalis,0,1,0,1
1564,Impurum tartari,impurum tartari,impurus tarto,0,3,0,3
1561,Immersiua corrosio,immersiua corrosio,immersiuus corrosio,0,2,0,2
1509,Heliotropium vero,heliotropium uero,heliotropium uero,0,3,0,3
1505,Heinricus rubeus,heinricus rubeus,heinricus rubeus,0,3,0,3
510,Archeus vero vir,archeus uero uir,archeus uero uir,0,1,0,1
1588,Interior murus fornacis,interior murus fornacis,interior murus fornax,0,1,0,1
1587,Inter venium,inter uenium,inter uenium,0,1,0,1
1586,Instrumentum metallicum,instrumentum metallicum,instrumentum metallicus,0,8,0,8
1584,Insidere in corio,insidere in corio,insidere in corium,0,2,0,2
1596,Iumnisum,iumnisum,iumnisum,0,1,0,1
1595,Iudex metallicus,iudex metallicus,iudex metallicus,0,2,0,2
1594,Iua potabilis,iua potabilis,iuus potabilis,0,2,0,2
1591,Ipacedes,ipacedes,ipacedes,0,2,0,2
1590,"Iota, iora","iota, iora",iotus us,0,0,0,0
1541,Ignis clare ardens,ignis clare ardens,ignis clare ardens,0,2,0,2
1539,Ignis algit,ignis algit,ignis algo,0,1,0,1
560,Asserculi vel pali,asserculi uel pali,asserculum uel palis,0,3,0,3
1537,Idroagira,idroagira,idroagira,0,2,0,2
1536,Idraogiros,idraogiros,idraogiros,0,1,0,1
556,Assanegi,assanegi,assanegi,0,2,0,2
553,"Aspaltum, Asphaltum","aspaltum, asphaltum",aspaltus asphaltus,0,0,0,0
552,Asoper,asoper,asoper,0,3,0,3
551,Asmaga,asmaga,asmaga,0,2,0,2
712,Bracteae ferreae,bracteae ferreae,bracteus ferreus,0,7,0,7
565,Asub,asub,asub,0,2,11,13
564,Astrum sydus,astrum sydus,astrum sydus,0,1,0,1
563,Astroites mas,astroites mas,astrois mas,0,1,0,1
713,Bracteae simul iunctae,bracteae simul iunctae,bracteus simul iungo,0,3,0,3
1538,Iffides,iffides,iffides,0,2,0,2
585,Atureb,atureb,atureb,0,2,0,2
584,Attractiua dicuntur medicamenta,attractiua dicuntur medicamenta,attractiuus dico medicamentum,0,2,0,2
1083,"Curtuma, Cursuma","curtuma, cursuma",curtuma cursuma,0,0,0,0
1084,Curuatura rotae,curuatura rotae,curuo rota,0,2,4,6
1070,Culatum,culatum,culatum,0,8,0,8
593,Auripigmentum glebosum,auripigmentum glebosum,auripigmentum glebosus,0,2,0,2
592,Auripigmentum crustaleum,auripigmentum crustaleum,auripigmentum crustaleus,0,1,0,1
591,Auripigmentum album sublimatum,auripigmentum album sublimatum,auripigmentum albus sublimatus,0,1,0,1
605,Austromantia alia,austromantia alia,austromantia alius,0,1,0,1
1073,Cuneus ferreus,cuneus ferreus,cuneus ferreus,0,18,6,24
1504,Hasacium,hasacium,hasacium,0,2,0,2
549,Asenec,asenec,asenec,0,2,2,4
548,Asedenigi,asedenigi,asedenigi,0,1,0,1
545,Asamaz,asamaz,asamaz,0,1,0,1
544,Asagi,asagi,asagi,0,5,3,8
543,Asagen,asagen,asagen,0,2,0,2
542,Asafaetida,asafaetida,asafaetida,0,0,0,0
1485,Gummi cedri,gummi cedri,gummus ceder,0,3,0,3
1484,Gummi asimar,gummi asimar,gummus asimo,0,2,0,2
1483,Gummi arboris nucum,gummi arboris nucum,gummus arbor nux,0,1,0,1
1074,Cuneus subscus,cuneus subscus,cuneus subscus,0,1,0,1
1479,Guaril,guaril,guaril,0,33,0,33
598,Aurum coticula experiri,aurum coticula experiri,aurum coticula experior,0,0,0,0
1503,Hartwerck,hartwerck,hartwerck,0,3,0,3
1502,Harpago praegrandis,harpago praegrandis,harpago praegrandis,0,1,0,1
1517,Hismat,hismat,hismat,0,2,0,2
1515,Hidus,hidus,hidus,0,26,108,134
1514,Hesmic,hesmic,hesmic,0,1,0,1
1512,Helunhai,helunhai,helunhai,0,2,0,2
1511,Helnesed,helnesed,helnesed,0,2,0,2
1510,Helle,helle,helle,0,30,93,123
1524,Hunc,hunc,hunc,0,0,0,0
1520,Homunculi imagunculae,homunculi imagunculae,homunculus imaguncula,0,1,0,1
1519,Holsebon,holsebon,holsebon,0,3,0,3
587,Aurancum,aurancum,aurancum,0,2,0,2
1533,Icteritia rubea,icteritia rubea,icteritia rubeus,0,3,0,3
1029,Contus ferreus,contus ferreus,contus ferreus,0,5,0,5
1530,Hypoglossum,hypoglossum,hypoglossum,0,20,0,20
1078,Cuppa,cuppa,cuppa,0,11,205,216
1079,Cuppa parua,cuppa parua,cuppa paruus,0,1,0,1
1526,Hyarith,hyarith,hyarith,0,2,0,2
1475,Gratiola nota herba,gratiola nota herba,gratiola notus herba,0,1,0,1
1474,Grassa,grassa,grassa,0,8,23,31
1472,Granum nil,granum nil,granum nihil,0,19,2,21
1471,Granuliren,granuliren,granuliren,0,3,0,3
588,Auraric,auraric,auraric,0,3,0,3
1518,Hispanicum viride,hispanicum uiride,hispanicus uiridis,0,2,0,2
1183,Ebel,ebel,ebel,0,12,0,12
1182,Dyota,dyota,dyota,0,3,2,5
685,Bitumen peruersum,bitumen peruersum,bitumen peruersus,0,2,0,2
1145,Dikalegi,dikalegi,dikalegi,0,3,0,3
682,Biladen,biladen,biladen,0,2,0,2
681,Biarchetunsim,biarchetunsim,biarchetunsim,0,3,0,3
680,Biacteae,biacteae,biacteae,0,1,0,1
679,Bezar vel Besar,bezar uel besar,bezar uel besar,0,1,0,1
1147,Dimidiatae,dimidiatae,dimidiatae,0,44,11,55
693,Bof,bof,bof,0,7,0,7
633,Azumen,azumen,azumen,0,2,0,2
691,Bodagi,bodagi,bodagi,0,1,0,1
690,Blincta,blincta,blincta,0,1,0,1
689,Blicare,blicare,blicare,0,1,0,1
688,Blanca,blanca,blanca,0,72,125,197
687,Blactara,blactara,blactara,0,2,0,2
686,Bitumen sulphurea terra,bitumen sulphurea terra,bitumen sulphureus terra,0,1,0,1
699,Borades,borades,borades,0,2,0,2
1149,Discessus per exspirationem,discessus per exspirationem,discessus per exspiratio,0,1,0,1
697,Bonati,bonati,bonati,0,4,2,6
696,Bolus Indiacus,bolus indiacus,bolus indiacus,0,1,0,1
645,Balitistera,balitistera,balitistera,0,2,0,2
692,Bodid,bodid,bodid,0,2,0,2
1277,Fecla,fecla,fecla,0,2,11,13
1276,Feces candidae,feces candidae,fex candidus,0,0,0,0
1273,Faulex,faulex,faulex,0,2,0,2
1271,Fass nimateria,fass nimateria,fass nimateria,0,1,0,1
1270,Fasces virgultorum,fasces uirgultorum,fascis uirgultum,0,12,0,12
1221,Embula,embula,embula,0,1,0,1
1219,Ema,ema,ema,0,110,76,186
1218,Elzimar,elzimar,elzimar,0,2,0,2
1217,Eltz,eltz,eltz,0,7,0,7
1216,Elpis,elpis,elpis,0,28,112,140
1215,Elos maris,elos maris,elus mare,0,1,0,1
1185,Echies catuli,echies catuli,echies catulus,0,2,0,2
1225,Entale,entale,entale,0,6,0,6
1091,Cynnia,cynnia,cynnia,0,1,0,1
1236,"Esebon, Alsabon","esebon, alsabon",esebon alsabon,0,0,0,0
1235,Escura,escura,escura,0,2,0,2
1232,Erfila,erfila,erfila,0,1,0,1
1231,Eposilinga,eposilinga,eposilinga,0,2,0,2
1092,Cyroenia,cyroenia,cyroenia,0,2,0,2
1093,D Abar,d abar,decimus abar,0,0,0,0
1238,Essatum potentiale,essatum potentiale,essatus potentialis,0,1,0,1
1143,Diathetis,diathetis,diathetis,0,1,0,1
1186,Echis,echis,echis,0,18,4,22
1214,Elopitinum,elopitinum,elopitinum,0,3,0,3
1127,Derquet,derquet,derquet,0,2,0,2
1165,Duamir,duamir,duamir,0,2,0,2
1164,Dragantum vitriolum,dragantum uitriolum,dragantus uitriolum,0,0,0,0
1162,Draconites,draconites,draconites,0,27,3,30
1160,Dracatium,dracatium,dracatium,0,2,0,2
1173,Duenez,duenez,duenez,0,3,0,3
1130,Descensio frigida,descensio frigida,descensio frigidus,0,5,0,5
1171,Duenecli,duenecli,duenecli,0,1,0,1
1168,Ductarii funes,ductarii funes,ductarius funis,0,7,3,10
1167,Dubel coleph,dubel coleph,dubel colephs,0,1,0,1
644,Balasius,balasius,balasius,0,7,1,8
1181,Dyoptra,dyoptra,dyoptra,0,1,0,1
1180,Dyonysius lapis,dyonysius lapis,dyonysius lapis,0,1,0,1
1179,Duumuiri iurati,duumuiri iurati,duumuirius iuratus,0,6,0,6
1132,Deserere fodinam,deserere fodinam,desero fodina,0,3,0,3
1177,Duo Fratres Edar,duo fratres edar,duo frater edar,0,2,0,2
1118,Demensum duplicatum,demensum duplicatum,demensus duplico,0,5,0,5
1175,Dunequer,dunequer,dunequer,0,2,0,2
1125,Dentes axis,dentes axis,dens axis,0,6,2,8
1123,Dens pili,dens pili,dens pilum,0,11,1,12
1121,Denequat,denequat,denequat,0,4,0,4
1120,Demotiuus lapsus,demotiuus lapsus,demotiuus labor,0,1,0,1
1166,Dubclech,dubclech,dubclech,0,1,0,1
643,Baiac,baiac,baiac,0,1,0,1
642,Bagedia,bagedia,bagedia,0,2,0,2
641,Baculus ferreus,baculus ferreus,baculus ferreus,0,4,1,5
640,Bacillus teres striatus,bacillus teres striatus,bacillus teres strio,0,0,0,0
1136,Deuexum,deuexum,deuexum,0,29,104,133
1197,Elaquit,elaquit,elaquit,0,1,0,1
1196,Elanula,elanula,elanula,0,1,0,1
1194,Egilops,egilops,egilops,0,6,0,6
1193,Effides,effides,effides,0,2,0,2
1191,Edic,edic,edic,0,22,19,41
1190,Edetz,edetz,edetz,0,1,0,1
1154,Distributor,distributor,distributor,0,9,326,335
1204,Elepodatum,elepodatum,elepodatum,0,2,0,2
1202,Elemptis,elemptis,elemptis,0,2,0,2
1201,Elementum Parac,elementum parac,elementum parac,0,2,0,2
1198,Electrum Theophrasto,electrum theophrasto,electrum theophrastus,0,3,0,3
1212,Eloanx,eloanx,eloanx,0,2,0,2
1138,Diapencia,diapencia,diapencia,0,4,0,4
1210,Elidrion,elidrion,elidrion,0,2,0,2
1209,Eleuatio per retortam,eleuatio per retortam,eleuatio per retorqueo,0,2,0,2
1208,Eleuatio per latus,eleuatio per latus,eleuatio per latus,0,2,0,2
1126,Dentes pili,dentes pili,dens pilum,0,11,1,12
1157,Doal,doal,doal,0,3,0,3
1205,Elersna,elersna,elersna,0,2,0,2
1324,Florificiren,florificiren,florificiren,0,2,0,2
1109,Dehene,dehene,dehene,0,2,0,2
1094,Dach,dach,dach,0,14,20,34
1318,Fisarum,fisarum,fisarum,0,3,0,3
1333,Fluores flaui,fluores flaui,fluor flo,0,2,0,2
1332,Fluores coerulei,fluores coerulei,fluor coeruleus,0,1,0,1
1331,Fluores cinerei,fluores cinerei,fluor cinereus,0,1,0,1
1329,Flox,flox,flox,0,6,6,12
1328,Flos sectorem Croe,flos sectorem croe,flos sector croe,0,1,0,1
1341,Focus extra demicilium,focus extra demicilium,focus extra demicilium,0,1,0,1
1263,Eyeb,eyeb,eyeb,0,1,0,1
1338,Fluores Virides,fluores uirides,fluor uiridis,0,1,0,1
1337,Fluores rubri,fluores rubri,fluor ruber,0,1,0,1
1336,Fluores purpurei,fluores purpurei,fluor purpureus,0,6,0,6
1335,Fluores phoenicei,fluores phoenicei,fluor phoeniceus,0,1,0,1
1334,Fluores nigri,fluores nigri,fluor niger,0,4,0,4
1282,"Fellech, faules","fellech, faules",fellech faulis,0,0,0,0
1278,Fedum,fedum,fedum,0,7,121,128
653,Barach panis,barach panis,barach panis,0,1,0,1
652,Balziam,balziam,balziam,0,2,0,2
1096,Daib,daib,daib,0,2,0,2
646,Balneum aliud maris,balneum aliud maris,balneum alius mare,0,1,0,1
1340,Focus excoctorum,focus excoctorum,focus excoquo,0,3,0,3
632,Azuc,azuc,azuc,0,2,0,2
631,Azubo,azubo,azubo,0,2,0,2
581,Attagar,attagar,attagar,0,2,0,2
1103,Debessis,debessis,debessis,0,1,0,1
578,Atramentum Hispanicum,atramentum hispanicum,atramentum hispanicus,0,2,0,2
1104,Decimar,decimar,decimar,0,2,2,4
1105,Decuma,decuma,decuma,0,22,572,594
1355,Forceps ferreus,forceps ferreus,forceps ferreus,0,4,8,12
1353,Foramina spiritalia,foramina spiritalia,foramen spiritalis,0,32,0,32
1352,Foramen spiritale follium,foramen spiritale follium,foramen spiritalis follis,0,1,0,1
1365,Fornax prima vitrariorum,fornax prima uitrariorum,fornax primus uitrariorum,0,1,0,1
1310,Filletin,filletin,filletin,0,3,0,3
1361,Fornacis magister,fornacis magister,fornax magister,0,4,0,4
1371,Fossam patentem ducere,fossam patentem ducere,fossa pateo duco,0,2,0,2
1370,Fossam latentem substruere,fossam latentem substruere,fossa lateo substruo,0,3,0,3
1369,Fossa occulta,fossa occulta,fossa occultus,0,1,0,1
1368,Fossa latens,fossa latens,fossa lateo,0,48,4,52
1366,Forniculae,forniculae,forniculae,0,1,0,1
1316,Firfir,firfir,firfir,0,3,0,3
1315,Firex,firex,firex,0,2,0,2
1107,Degegi,degegi,degegi,0,2,0,2
1108,Dehen,dehen,dehen,0,3,0,3
1311,Filtriren,filtriren,filtriren,0,2,0,2
1364,Fornax furno similis,fornax furno similis,fornax furnus similis,0,4,0,4
1287,Ferramentum primum,ferramentum primum,ferramentum primus,0,5,0,5
1286,Ferramento exposita,ferramento exposita,ferramentum expono,0,1,0,1
1099,Dansir,dansir,dansir,0,2,0,2
1100,Daram,daram,daram,0,6,4,10
1298,Fexa,fexa,fexa,0,1,1,2
1295,"Feru, zegi","feru, zegi",feru zegus,0,0,0,0
1294,Ferrum signatorium,ferrum signatorium,ferrum signatorius,0,7,0,7
1308,Filius Veneris,filius ueneris,filius uenus,0,4,15,19
1307,Filius,filius,filius,0,0,0,0
1306,Figura disci,figura disci,figura disco,0,6,3,9
661,Bäsura,basura,bäsura,0,1,0,1
1302,Fidda,fidda,fidda,0,3,0,3
1250,Euronotus,euronotus,euronotus,0,27,22,49
1249,Eurnus simplex,eurnus simplex,eurnus simplex,0,1,0,1
1246,Ethesius lapis,ethesius lapis,ethesius lapis,0,1,0,1
1261,Extra ordinaria opera,extra ordinaria opera,extra ordinarius opus,0,1,0,1
1260,Exsilire,exsilire,exsilire,0,19,86,105
1258,Experiri venas,experiri uenas,experior uena,0,3,0,3
1269,Falcanos,falcanos,falcanos,0,2,0,2
1088,Cymolea,cymolea,cymolea,0,1,0,1
1266,Fabaagrestis,fabaagrestis,fabaagrestis,0,0,0,0
1264,Ezezich,ezezich,ezezich,0,2,0,2
1303,Fider,fider,fider,0,7,0,7
659,Based,based,based,0,3,6,9
658,Barurac,barurac,barurac,0,2,0,2
657,Barnabus,barnabus,barnabus,0,3,19,22
656,Baritis,baritis,baritis,0,1,1,2
655,Bardadia,bardadia,bardadia,0,3,0,3
654,Barcata,barcata,barcata,0,1,0,1
669,Bayda,bayda,bayda,0,2,0,2
1097,Danic,danic,danic,0,21,8,29
667,Baurac acutum,baurac acutum,baurac acutus,0,2,0,2
666,Bäul,baul,bäul,0,11,1,12
665,Battitura rami,battitura rami,battiturus ramus,0,2,0,2
1288,Ferramentum quartum,ferramentum quartum,ferramentum quartus,0,1,0,1
613,Azamo,azamo,azamo,0,2,1,3
612,Azagor,azagor,azagor,0,2,0,2
611,Azaa,azaa,azaa,0,2,0,2
610,Aycophos,aycophos,aycophos,0,2,0,2
608,Axiculus ferreus,axiculus ferreus,axiculus ferreus,0,16,0,16
607,Axiculus,axiculus,axiculus,0,69,12,81
606,Auuer,auuer,auuer,0,3,0,3
1293,Ferrum Indicum,ferrum indicum,ferrum index,0,2,1,3
1291,Ferri scobs elimata,ferri scobs elimata,ferrus scobs elimo,0,4,0,4
1290,Ferri recrementa nigra,ferri recrementa nigra,ferrus recrementum niger,0,1,0,1
1289,Ferramentum secundum,ferramentum secundum,ferramentum secundum,0,1,0,1
664,Battitura aeris,battitura aeris,battiturus aer,0,1,0,1
758,Calcinatio humida inmersiua,calcinatio humida inmersiua,calcinatio humidus inmersiuus,0,1,0,1
759,Calcinatio reuerberii,calcinatio reuerberii,calcinatio reuerberium,0,3,0,3
1945,Mustum immaturum,mustum immaturum,mustum immaturus,0,2,0,2
1943,Muscula sciurus,muscula sciurus,musca sciurus,0,1,0,1
1893,Metallum rude,metallum rude,metallum rudis,0,4,0,4
1891,Metallum ferramento,metallum ferramento,metallum ferramentum,0,3,0,3
764,Calcinon per reuerberium,calcinon per reuerberium,calcinon per reuerberium,0,1,0,1
1889,Mest,mest,mest,0,41,10,51
1888,Mesel,mesel,mesel,0,2,3,5
1887,Mesbra,mesbra,mesbra,0,2,0,2
1574,Indicum sal,indicum sal,index sal,0,4,0,4
1901,Minera bacilla,minera bacilla,minera bacillum,0,1,0,1
1899,Mifres,mifres,mifres,0,2,0,2
1897,Michach,michach,michach,0,2,0,2
1896,Micha,micha,micha,0,14,142,156
1895,Mez,mez,mez,0,10,0,10
1909,Misy secundum,misy secundum,misy secundum,0,1,0,1
1906,Misserassi,misserassi,misserassi,0,2,0,2
1904,Misadir,misadir,misadir,0,5,0,5
1917,Molipdides,molipdides,molipdides,0,1,0,1
1916,Moliboto,moliboto,moliboto,0,1,0,1
765,Calcitari,calcitari,calcitari,0,2,0,2
1886,Mergen Bassec,mergen bassec,merge bassec,0,1,0,1
979,Cobatiorum fumus,cobatiorum fumus,cobatii fumus,0,2,0,2
966,Claui cornuti,claui cornuti,clauius cornutus,0,3,0,3
424,Amene,amene,amene,0,5,19,24
968,Climia Ereps,climia ereps,climius ereps,0,2,0,2
434,Amygdalae apud Chirurgos,amygdalae apud chirurgos,amygdala apud chirurgus,0,1,0,1
433,Ampulla vitrea altera,ampulla uitrea altera,ampulla uitreus alter,0,1,0,1
431,Amongabriel,amongabriel,amongabriel,0,2,0,2
443,Anfaka,anfaka,anfaka,0,2,0,2
441,Andarac,andarac,andarac,0,2,0,2
440,Ancosa,ancosa,ancosa,0,2,0,2
973,Coagulatio calida,coagulatio calida,coagulatio calidus,0,1,0,1
1940,Murus niger,murus niger,murus niger,0,2,4,6
389,Alumen Calcilien,alumen calcilien,alumen calcilien,0,1,0,1
388,Alumen bulganum,alumen bulganum,alumen bulganus,0,1,0,1
387,Alumen Alkori,alumen alkori,alumen alkorus,0,1,0,1
384,Alumen Albedane,alumen albedane,alumen albedanus,0,1,0,1
383,Alumen alap,alumen alap,alumen alap,0,1,0,1
382,Alumen alafran,alumen alafran,alumen alafras,0,1,0,1
708,Botus barbotus,botus barbotus,botus barbotus,0,1,0,1
1931,"Mulcedar, mulcodar","mulcedar, mulcodar",mulcedar mulcodo,0,0,0,0
1928,Mortatiolum,mortatiolum,mortatiolum,0,1,0,1
1926,Morochthus,morochthus,morochthus,0,32,0,32
1941,Musadi,musadi,musadi,0,2,0,2
702,Botamum,botamum,botamum,0,3,0,3
1826,Marmora Cinerea,marmora cinerea,marmor cinereus,0,2,0,2
757,Calcinatio corrosione vaporosa,calcinatio corrosione uaporosa,calcinatio corrosio uaporosus,0,2,0,2
1823,Margaritas pretiosas,margaritas pretiosas,margarita pretiosus,0,2,14,16
1822,Marckasita,marckasita,marckasita,0,2,0,2
461,Antifides,antifides,antifides,0,2,0,2
743,Cadmia acinosa,cadmia acinosa,cadmium acinosus,0,2,0,2
459,Anthous,anthous,anthous,0,25,4,29
458,Anthonor,anthonor,anthonor,0,2,0,2
456,Anterit,anterit,anterit,0,3,0,3
455,Antal,antal,antal,0,7,0,7
1911,Modiolus rotae,modiolus rotae,modiolus rota,0,5,1,6
744,Cadmia Cypria,cadmia cypria,cadmium cyprius,0,1,0,1
466,Aphebriock,aphebriock,aphebriock,0,2,0,2
465,Apensalus,apensalus,apensalus,0,2,0,2
464,Anyadei,anyadei,anyadei,0,1,0,1
463,Anucar,anucar,anucar,0,2,0,2
475,Aqua Elsabon,aqua elsabon,aqua elsabon,0,3,0,3
471,Aqua alregi,aqua alregi,aqua alregus,0,2,0,2
470,Aqua alma,aqua alma,aqua almus,0,2,0,2
421,Amandinus lapis,amandinus lapis,amandinus lapis,0,2,0,2
418,Alzofar,alzofar,alzofar,0,3,0,3
417,Alzimar,alzimar,alzimar,0,2,0,2
469,Aqua,aqua,aqua,0,0,0,0
1861,Melanteria metallicum chalcanti,melanteria metallicum chalcanti,melanterius metallicus chalcans,0,1,0,1
1860,Melanter,melanter,melanter,0,5,1,6
1858,Mehelum,mehelum,mehelum,0,1,0,1
1854,Medeae gemma,medeae gemma,medea gemma,0,2,1,3
1869,Melusi,melusi,melusi,0,2,0,2
1868,Mellisodium,mellisodium,mellisodium,0,3,0,3
1866,Melisea,melisea,melisea,0,2,3,5
1865,"Melibocum, melibaeum","melibocum, melibaeum",melibocus melibaeus,0,0,0,0
1863,Melcelhon,melcelhon,melcelhon,0,2,0,2
751,Calcaton,calcaton,calcaton,0,2,0,2
1877,Mercurius argentipigmentum,mercurius argentipigmentum,mercurius argentipigmentum,0,1,0,1
1827,Marmora flaua,marmora flaua,marmor flauus,0,2,6,8
1875,Mercurialis saeua,mercurialis saeua,mercurialis saeuus,0,2,0,2
1872,Menfrice,menfrice,menfrice,0,1,0,1
1871,Memphites,memphites,memphites,0,21,11,32
1870,Melusina & Meliora,melusina & meliora,melusina melior,0,1,0,1
1885,Merdasengi,merdasengi,merdasengi,0,4,0,4
752,Calceus siphonum,calceus siphonum,calceus siphon,0,3,0,3
753,Calcidicum,calcidicum,calcidicum,0,1,0,1
756,Calcinatio corrosione sicca,calcinatio corrosione sicca,calcinatio corrosio siccus,0,2,0,2
1878,Mercurius chambar,mercurius chambar,mercurius chaambar,0,2,0,2
1829,Marmora Rubra,marmora rubra,marmor ruber,0,6,3,9
1828,Marmora nigra,marmora nigra,marmor niger,0,7,2,9
1876,Mercurium exsuperantem,mercurium exsuperantem,mercurius exsupero,0,1,0,1
399,Alumen lonid,alumen lonid,alumen lonid,0,1,0,1
413,Alusen,alusen,alusen,0,2,0,2
411,Alunsel,alunsel,alunsel,0,2,0,2
776,Calietre,calietre,calietre,0,1,0,1
409,Alumen sysarach,alumen sysarach,alumen sysarach,0,1,0,1
407,Alumen scarolum,alumen scarolum,alumen scarolum,0,1,0,1
406,Alumen scariole,alumen scariole,alumen scariol,0,1,0,1
357,Alnec,alnec,alnec,0,4,0,4
777,"Callecamenon, Calcucementum casticum","callecamenon, calcucementum casticum",callecamenon calcucementum casticus,0,0,0,0
778,Calmet,calmet,calmet,0,46,68,114
429,Ammonis,ammonis,ammonis,0,119,199,318
353,Almene,almene,almene,0,3,1,4
352,Almechaside,almechaside,almechaside,0,2,0,2
351,Almatkasita,almatkasita,almatkasita,0,1,0,1
350,Almatatica,almatatica,almatatica,0,2,0,2
2027,Optos,optos,optos,0,7,1,8
2026,optimus pallidus,optimus pallidus,bonus pallidus,0,1,0,1
2025,Ops metallum,ops metallum,ops metallum,0,1,0,1
2023,Opilatiua,opilatiua,opilatiua,0,3,4,7
2022,Opilare,opilare,opilare,0,3,5,8
779,"Calor arenae, medius","calor arenae, medius",calor arena medius,0,0,0,0
781,Calor carbonum,calor carbonum,calor carbo,0,3,0,3
354,Almetat,almetat,almetat,0,2,0,2
2056,Ozo,ozo,ozo,0,12,6,18
2055,Ozeman,ozeman,ozeman,0,2,0,2
793,Calufax,calufax,calufax,0,1,0,1
794,Calusa Cyptas,calusa cyptas,calusus cyptus,0,1,0,1
2068,Partes fodinarum,partes fodinarum,pars fodina,0,12,0,12
2067,Partes fodinae,partes fodinae,pars fodina,0,12,0,12
2076,Pelicide,pelicide,pelicide,0,2,0,2
2074,Pedagra,pedagra,pedagra,0,2,0,2
2073,Patias,patias,patias,0,3,1,4
2072,Pater,pater,pater,0,0,0,0
2071,Passus metallicus,passus metallicus,passus metallicus,0,4,0,4
400,Alumen lose,alumen lose,alumen lose,0,1,0,1
2020,Operimethiolin,operimethiolin,operimethiolin,0,1,0,1
2019,Operculum superioris,operculum superioris,operculum superior,0,7,0,7
2018,Operculum ampullae,operculum ampullae,operculum ampulla,0,2,0,2
2015,Opali,opali,opali,0,42,8,50
396,Alumen glaciosero,alumen glaciosero,alumen glacioser,0,1,0,1
395,Alumen fascioli,alumen fascioli,alumen fasciolus,0,1,0,1
393,Alumen de Crystallo,alumen de crystallo,alumen de crystallum,0,1,0,1
391,Alumen de alep,alumen de alep,alumen de alep,0,1,0,1
788,Calor Liber,calor liber,calor liber,0,9,1,10
403,Alumen philosophorum,alumen philosophorum,alumen philosophus,0,1,0,1
402,Alumen odig,alumen odig,alumen odig,0,1,0,1
797,Calx exstincta,calx exstincta,calx exstinctus,0,1,0,1
985,Coelum,coelum,coelum,0,0,0,0
1957,Narbasaphar,narbasaphar,narbasaphar,0,1,0,1
974,Coagulatio frigida,coagulatio frigida,coagulatio frigidus,0,3,0,3
1955,Napta alba,napta alba,naptus albus,0,1,0,1
1952,"Nafda, sinapta","nafda, sinapta",nafdus sinaptus,0,0,0,0
1950,Nacda,nacda,nacda,0,1,0,1
1964,Necrolia,necrolia,necrolia,0,2,0,2
1962,Natiuum rubeum,natiuum rubeum,natiuus rubeus,0,2,0,2
1961,Nataron,nataron,nataron,0,2,0,2
1958,"Narcotica, medicamenta soporifera","narcotica, medicamenta soporifera",narcoticus medicamentum soporifer,0,0,0,0
2035,Orichalcea fila,orichalcea fila,orichalceus filum,0,4,0,4
1967,Neutha,neutha,neutha,0,2,0,2
1981,Nubar,nubar,nubar,0,5,0,5
1979,Nosididach,nosididach,nosididach,0,1,0,1
1978,Noera,noera,noera,0,3,5,8
1977,Nodi articulorum,nodi articulorum,nodius articulus,0,1,0,1
1976,Nochat,nochat,nochat,0,4,0,4
1975,Nocasit,nocasit,nocasit,0,2,0,2
1974,Nobach,nobach,nobach,0,1,0,1
1920,Monetariorum magister,monetariorum magister,monetarius magister,0,4,0,4
1919,Molochites,molochites,molochites,0,16,7,23
1918,Molipdina,molipdina,molipdina,0,1,0,1
978,Cobastoli,cobastoli,cobastoli,0,2,0,2
2031,Orbis saxeus,orbis saxeus,orbis saxeus,0,1,0,1
